,name,ingredients,instructions,time,serving_size,tags,calories,protein,carbohydrates,fiber,fat,sodium
1856,jowar upma recipe,"['one', 'jowar', 'white', 'millet', 'flour', 'two', 'oil', 'one', 'mustard', 'seed', 'rai', 'sarson', 'one', 'urad', 'dal', 'split', 'black', 'lentil', 'zero', 'point', 'two', 'five', 'asafoetida', 'hing', 'five', 'six', 'curri', 'leav', 'kadi', 'patta', 'zero', 'point', 'five', 'fine', 'chop', 'onion', 'zero', 'point', 'five', 'semolina', 'rava', 'sooji', 'zero', 'point', 'five', 'boil', 'green', 'pea', 'two', 'green', 'chilli', 'past', 'two', 'fine', 'chop', 'coriand', 'dhania', 'salt', 'one', 'zero', 'point', 'five', 'lemon', 'juic']","Heat the oil in a deep non-stick pan, add the mustard seeds and urad dal.When the mustard seeds crackle, add the asafoetida and curry leaves and sauté on a medium flame for a few seconds.Add the onions and sauté on a medium flame for 1 minute.Add the semolina and sauté on a medium flame for another 2 minutes.Add the jowar flour and sauté on a medium flame for 2 more minutes.Add the green peas, green chilli paste, coriander and salt and mix well.Add 3 cups of hot water, mix well and cook on a medium flame for 2 to 3 minutes, while stirring continuously.Add the lemon juice and mix well.Serve immediately.",19 Mins,4 servings,"['nonstick', 'pan', 'high', 'fiber', 'high', 'fiber', 'snack', 'indian', 'healthi', 'veg', 'snack', 'healthi', 'quick', 'snack', 'idea', 'healthi', 'snack', 'entertain', 'idea', 'low', 'glycem', 'veg', 'snack', 'starter', 'pco', 'pcosbreakfast', 'healthyquicksnack', 'pcosindian', 'healthysnackentertainingidea', 'highfibersnack', 'seniorcitizenironrich', 'pcoshighfibr', 'veganindianbreakfast', 'vegansnacksindian', 'lowglycemicvegsnacksstart']",206.0,6.3,37.8,4.4,3.3,9.1
1857,dry fruit barfi recipe,"['one', 'deseed', 'date', 'khajur', 'one', 'coconut', 'oil', 'zero', 'point', 'five', 'fresh', 'grate', 'coconut', 'zero', 'point', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'chop', 'cashew', 'nut', 'kaju', 'zero', 'point', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'chop', 'almond', 'badam', 'zero', 'point', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'chop', 'pistachio', 'zero', 'point', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'three', 'chop', 'walnut', 'akhrot', 'one', 'sesam', 'seed', 'til', 'zero', 'point', 'two', 'five', 'cardamom', 'elaichi', 'powder']","For dry fruit barfi To make dry fruit barfi, heat the oil in a non-stick pan, add the coconut and saute on a medium flame for 1 to 2 minutes.Add cashewnuts, almonds, pistachios and walnuts and saute them for 4 to 5 minutes. Remove and keep aside.Add sesame seeds in the same pan and dry roast them for 1 to 2 minutes.Add the roasted nuts-coconut mixture, dates and cardamom powder, mix well and cook on a medium flame for 2 minutes, while stirring occasionally.Transfer the mixture into a thali, spread it and allow it to cool for 5 to 10 minutes.Then knead the mixture into a dough.Shape into a cylindrical roll of 8"" in diameter, wrap it with a cling wrap or aluminium foil and freeze for 1 hour.Remove the wrap and cut the roll into 16 equal pieces of 1/2"" each.Serve the dry fruit barfi chilled or store in an air-tight container in the refrigerator. It stays fresh for 10 days.",24 Mins,4 servings,"['nonstick', 'pan', 'indian', 'dessert', 'sweet', 'dri', 'fruit', 'flavour', 'tradit', 'indian', 'mithai', 'indian', 'veg', 'recip', 'north', 'indian', 'vegetarian', 'food', 'antioxid', 'rich', 'indian', 'antioxid', 'rich', 'dessert', 'recip', 'low', 'calori', 'weight', 'loss', 'indian', 'recip', 'antioxidantrichindiandessert']",130.0,2.6,10.8,2.0,8.6,1.4
1858,Almond Sheera,"['one', 'almond', 'badam', 'one', 'milk', 'one', 'ghee', 'zero', 'point', 'five', 'sugar', 'zero', 'point', 'five', 'cardamom', 'elaichi', 'powder', 'saffron', 'kesar', 'strand', 'dissolv', 'one', 'warm', 'two', 'almond', 'badam', 'sliver']","Handy tip :This sheera stays fresh for 10 to 15 days when refrigerated. However ensure to reheat it before serving and serve lukewarm.To blanch the almonds, soak them in enough hot water in a bowl for at least 8 to 10 minutes.Drain and refresh using some cold water and peel them.Add ½ cup of milk and blend in a mixer to a smooth paste.Heat the ghee in a broad non-stick pan, add the almond paste, mix well and cook over a medium flame for 4 to 5 minutes or till it turns light pink in colour, while stirring continuouslyAdd the remaining ½ cup of milk and ¼ cup of water, mix well and simmer for 3 to 4 minutes, while stirring continuouslyAdd the sugar, cardamom powder and saffron mixture and cook on a medium flame for 6 to 7 minutes or till the sugar dissolves and the ghee separates, while stirring continuously. Keep aside to cool slightly.Garnish with almond slivers and serve lukewarm or refrigerate and serve chilled.",21 Mins,4 servings,"['b', 'vitamin', 'gluten', 'free', 'veg', 'indian', 'gluten', 'free', 'kid', 'iron', 'rich', 'indian', 'recip', 'iron', 'rich', 'indian', 'dessert', 'senior', 'citizen', 'senior', 'citizen', 'iron', 'rich', 'food', 'vitamin', 'bthree', 'niacin', 'rich', 'vitaminerich', 'vitaminbthreeniacinrichrecip', 'seniorcitizenironrich', 'kidsglutenfre', 'vitaminerichrecipesforeyehealthandvis']",98.0,2.1,8.1,0.1,6.1,2.7
1859,grilled cauliflower recipe,"['one', 'zero', 'point', 'five', 'slice', 'cauliflow', 'one', 'grate', 'garlic', 'lehsun', 'two', 'dri', 'red', 'chilli', 'flake', 'paprika', 'one', 'dri', 'mix', 'herb', 'two', 'oliv', 'oil', 'salt', 'oil', 'greas']","For grilled cauliflower To make grilled cauliflower, combine the garlic, chilli flakes, mixed herbs, olive oil and salt in a deep bowl and mix well.Add the cauliflower and mix well.Heat a non-stick griller pan till hot and grease it with little oil. Arrange half of the marinated cauliflower on it and cook on a medium flame for 3 minutes.Turn each marinated cooked cauliflower over using a tong and cook the other side as well for 3 minutes.Repeat steps 3 and 4 to make 1 more batch.Serve the grilled cauliflower immediately.",22 Mins,4 servings,"['starter', 'snack', 'even', 'tea', 'snack', 'antioxid', 'rich', 'indian', 'indol', 'rich', 'recip', 'food', 'arthriti', 'diet', 'b', 'vitamin', 'biotin', 'rich', 'indian', 'healthi', 'veg', 'snack', 'indoleshealthbenefit']",154.0,1.8,2.9,2.5,15.3,36.2
1860,baked papdi recipe,"['zero', 'point', 'five', 'whole', 'wheat', 'flour', 'gehun', 'ka', 'atta', 'zero', 'point', 'five', 'oil', 'salt', 'zero', 'point', 'five', 'oil', 'greas', 'whole', 'wheat', 'flour', 'gehun', 'ka', 'atta', 'roll']","For baked puri To make baked puris, combine all the ingredients in a deep bowl, mix well and knead into a firm dough using enough water.Divide the dough into 2 equal portions and roll one portion of the dough into about 225 mm. (9"") diameter circle, using little whole wheat flour for rolling.Take a small cookie cutter or vati and cut small 11 puris from it.Gather up the scraps, knead, roll and repeat the process. You will get 40 papdis in all.Prick each papdi with a fork evenly.Grease the baking tray with oil, place the puris on it.Bake the papadis in a pre-heated oven at 200°c (400°f) for 10 minutes, turning them once after 5 minutes.Store the baked puris in an air-tight container. Use as required.",2 Mins,4 servings,"['oven', 'vegetarian', 'bake', 'indian', 'recip', 'starter', 'snack', 'bake', 'indian', 'vegetarian', 'snack', 'chaat', 'quicklowcalori']",11.0,0.3,2.0,0.3,0.2,0.5
1861,Maharashtrian masala bhaat recipe,"['zero', 'point', 'five', 'garam', 'masala', 'two', 'oil', 'zero', 'point', 'five', 'cumin', 'seed', 'jeera', 'zero', 'point', 'five', 'fine', 'chop', 'onion', 'asafoetida', 'hing', 'zero', 'point', 'five', 'grate', 'ginger', 'adrak', 'one', 'fine', 'chop', 'green', 'chilli', 'zero', 'point', 'five', 'turmer', 'powder', 'haldi', 'zero', 'point', 'five', 'slice', 'tendli', 'ivi', 'gourd', 'zero', 'point', 'five', 'green', 'pea', 'salt', 'zero', 'point', 'five', 'brinjal', 'baingan', 'eggplant', 'cube', 'zero', 'point', 'five', 'cumin', 'seed', 'jeera', 'zero', 'point', 'five', 'coriand', 'dhania', 'seed', 'three', 'clove', 'laung', 'lavang', 'five', 'six', 'black', 'peppercorn', 'kalimirch', 'one', 'fine', 'chop', 'coriand', 'dhania']","For the dry spice powder Combine the cumin seeds, coriander seeds, cloves and peppercorns in a broad non-stick pan and sauté on a medium flame for a few seconds.Remove from the flame and blend in a mixer to a smooth powder. Keep aside.How to proceed to make masala bhaat To make masala bhaat, heat the oil in a deep non-stick pan and add the cumin seeds.When the seeds crackle, add the onions and sauté on a medium flame for 1 minute.Add the asafoetida, ginger, green chillies and turmeric powder and sauté on a medium flame for a few seconds.Add the tendli, green peas, brinjal, salt and 3 tbsp of water, cover with a lid and cook on a medium flame for 8 to 10 minutes, while stirring occasionally.Add the rice and dry powder, mix well and cook on a medium flame for 2 minutes.Serve the masala bhaat hot garnished with coriander.",30 Mins,4 servings,"['pressur', 'cooker', 'indian', 'comfort', 'food', 'comfort', 'food', 'rice', 'khichdi', 'indian', 'lunch', 'indian', 'travel', 'food', 'indian', 'travel', 'food', 'rice', 'biryani', 'pulao', 'main', 'cours', 'recip', 'indian', 'rice', 'quick', 'south', 'indian', 'maharashtrian', 'rice', 'recip', 'veganrecipesvegandiet', 'indianveganrecipesforkid']",181.0,4.9,37.1,4.4,1.6,11.2
1862,sprouts pancake recipe,"['one', 'sprout', 'moong', 'whole', 'green', 'gram', 'two', 'grate', 'carrot', 'zero', 'point', 'two', 'five', 'fine', 'chop', 'spinach', 'palak', 'zero', 'point', 'two', 'five', 'fine', 'chop', 'fenugreek', 'leav', 'methi', 'two', 'besan', 'bengal', 'gram', 'flour', 'zero', 'point', 'five', 'turmer', 'powder', 'haldi', 'zero', 'point', 'two', 'five', 'cumin', 'seed', 'jeera', 'one', 'zero', 'point', 'five', 'gingergreen', 'chilli', 'past', 'salt', 'two', 'zero', 'point', 'two', 'five', 'oil']","For sprouts pancakesTo make sprouts pancakes, combine the moong sprouts and ½ cup of water and blend in a mixer to a smooth paste.Transfer the paste into a bowl and add the carrots, spinach fenugreek, besan, turmeric powder, cumin seeds, ginger-green chilli paste, salt and 1 tsp oil and mix well till no lumps remain.Add 2 tbsp of water and mix well.Heat a non-stick tava (griddle) and grease it using ¼ tsp of oil.Pour a ladleful of batter and spread it evenly to make a 150 mm (6”) diameter circle and cook using ¼ tsp of oil, till it is golden brown in colour from both the sides.Repeat with the remaining batter to make 3 more pancakes.Serve the sprouts pancakes hot with green chutney.",25 Mins,4 servings,"['healthi', 'indian', 'breakfast', 'healthi', 'chilla', 'recip', 'pancak', 'high', 'fiber', 'high', 'fiber', 'breakfast', 'high', 'fiber', 'indian', 'recip', 'pregnanc', 'high', 'fiber', 'snack', 'indian', 'cancer', 'patient', 'indian', 'breakfast', 'recip', 'cancer', 'ironrichbreakfast', 'highfiberbreakfast', 'pcosbreakfast', 'sprout', 'cancerbreakfast', 'healthybreakfastpancak', 'sproutsweightloss', 'highfibersnack', 'healthylunchcancerpati', 'highfiberpregn', 'sproutssnack', 'cancerpatientshealthyrecip']",110.0,5.6,14.2,4.3,3.4,15.7
1863,sprouted matki poha recipe,"['one', 'boil', 'sprout', 'matki', 'moath', 'bean', 'two', 'thick', 'beaten', 'rice', 'jada', 'poha', 'two', 'oil', 'one', 'cumin', 'seed', 'jeera', 'one', 'fine', 'chop', 'green', 'chilli', 'zero', 'point', 'five', 'fine', 'chop', 'onion', 'zero', 'point', 'five', 'turmer', 'powder', 'haldi', 'zero', 'point', 'five', 'sugar', 'zero', 'point', 'two', 'five', 'chilli', 'powder', 'salt', 'two', 'fine', 'chop', 'coriand', 'dhania', 'two', 'lemon', 'juic']","For sprouted matki pohaTo make sprouted matki poha, place the beaten rice in a sieve and hold it under running water for a few seconds. Keep aside for 2 minutes for the water to drain out completely.Heat the oil in a broad non-stick pan and add the cumin seeds.When the seeds crackle, add the green chillies and sauté on a medium flame for a few seconds.Add the onions and turmeric powder and sauté on a medium flame for 1 minute.Add the matki, soaked beaten rice, sugar, chilli powder, salt and coriander, mix well and cook on a medium flame for 2 to 3 minutes, while stirring occasionally.Add the lemon juice and mix well.Serve the sprouted matki poha hot.",15 Mins,4 servings,"['nonstick', 'pan', 'starter', 'snack', 'even', 'tea', 'snack', 'healthi', 'indian', 'breakfast', 'healthi', 'breakfast', 'upma', 'poha', 'iron', 'rich', 'indian', 'recip', 'iron', 'rich', 'indian', 'starter', 'snack', 'potassium', 'rich', 'breakfast', 'indian', 'pregnanc', 'recip', 'ironrichindianvegetarianrecipesforpregn', 'potassiumrichbreakfast', 'healthybreakfastwithupmaandpoha']",199.0,6.5,36.2,1.3,3.1,10.1
1864,cabbage kachumber recipe,"['three', 'shred', 'cabbag', 'one', 'zero', 'point', 'five', 'oil', 'zero', 'point', 'seven', 'five', 'mustard', 'seed', 'rai', 'sarson', 'zero', 'point', 'two', 'five', 'asafoetida', 'hing', 'twelv', 'curri', 'leav', 'kadi', 'patta', 'three', 'slit', 'green', 'chilli', 'salt', 'zero', 'point', 'seven', 'five', 'coriand', 'dhania', 'seed', 'powder', 'zero', 'point', 'seven', 'five', 'sugar', 'one', 'zero', 'point', 'five', 'lemon', 'juic']","For cabbage kachumberTo make cabbage kachumber, heat the oil in a broad non-stick pan and add the mustard seeds.When the seeds crackle, add the asafoetida, curry leaves and green chillies and sauté on a medium flame for 30 seconds.Add the cabbage and salt, mix well and cook on a medium flame for 2 minutes, while stirring once in between.Add the coriander seeds powder, sugar and lemon juice, mix well and cook on a medium flame for1 minute, while stirring once in between.Serve the cabbage kachumber immediately.",20 Mins,4 servings,"['nonstick', 'pan', 'indian', 'dinner', 'gujarati', 'dinner', 'indian', 'salad', 'quick', 'indian', 'salad', 'side', 'dish', 'pickl', 'achar', 'indian', 'veg', 'recip', 'vitaminkdiet', 'healthyraitakachumb', 'indoleshealthbenefit']",41.0,1.1,4.2,1.8,2.1,11.1
1865,whole masoor and chawli soup recipe,"['zero', 'point', 'seven', 'five', 'soak', 'masoor', 'whole', 'red', 'lentil', 'one', 'fine', 'chop', 'green', 'chawli', 'amaranth', 'leav', 'one', 'roughli', 'chop', 'tomato', 'two', 'oliv', 'oil', 'two', 'fine', 'chop', 'garlic', 'lehsun', 'zero', 'point', 'two', 'five', 'fine', 'chop', 'onion', 'one', 'chilli', 'powder', 'one', 'lemon', 'juic', 'salt']","For whole masoor and chawli soupTo make whole masoor and chawli soup, combine the whole masoor, chawli leaves, tomatoes and 3 cups of water in a pressure cooker and pressure cook for 3 whistles.Allow the steam to escape before opening the lid.Cool slightly, blend the mixture in a hand  mixer to a smooth purée and keep aside.Heat the olive oil in a deep non-stick pan, add the garlic and onions and sauté on a medium flame for 1 to 2 minutes.Add the whole masoor-chawli purée, chilli powder, lemon juice, salt  and ½ cup of water, mix well and bring to a boil, while stirring occasionally.Serve whole masoor and chawli soup hot.",30 Mins,4 servings,"['nonstick', 'pan', 'pressur', 'cooker', 'boil', 'indian', 'recip', 'indian', 'pressur', 'cooker', 'indian', 'comfort', 'food', 'comfort', 'food', 'soup', 'indian', 'soup', 'low', 'calori', 'vegetarian', 'soup', 'soupsforpregn', 'calciumrichsoup', 'healthythickcreamysoup', 'vegansoup']",89.0,4.3,11.6,2.8,2.8,45.5
